full_index,TSPAN6,TNMD,DPM1,SCYL3,C1orf112
A10_P3_M11-Pre_P1,0.0,0.0,9.24,0.0,0.0
A11_P1_M11-Pre_P1.1,0.0,0.0,0.0,0.0,0.0
A11_P3_M11-Pre_P1.2,0.0,0.0,7.99,0.0,0.0
A11_P4_M11-Pre_P1.3,0.0,0.0,0.0,0.0,0.0
A12_P3_M11-Pre_P1.4,0.0,0.0,0.0,0.0,0.0
A12_P6_M11-Pre_P1.5,0.0,0.0,0.0,0.0,0.0
A2_P1_M11-Pre_P1.6,0.0,0.0,0.0,0.0,0.0
A2_P4_M11-Pre_P1.7,0.0,0.0,8.44,0.0,0.0
A3_P1_M11-Pre_P1.8,0.0,0.0,0.0,0.0,0.0
A3_P3_M11-Pre_P1.9,0.0,0.0,0.0,0.0,0.0
A4_P3_M11-Pre_P1.10,0.0,0.0,0.0,0.0,0.0
A4_P4_M11-Pre_P1.11,0.0,0.0,0.0,0.0,0.0
A4_P6_M11-Pre_P1.12,0.0,0.0,8.32,0.0,7.93
A5_P4_M11-Pre_P1.13,0.0,0.0,7.64,0.0,0.0
A5_P5_M11-Pre_P1.14,0.0,0.0,0.0,0.0,0.0
A6_P1_M11-Pre_P1.15,0.0,0.0,0.0,0.0,0.0
A6_P4_M11-Pre_P1.16,0.0,0.0,0.0,5.69,0.0
A6_P6_M11-Pre_P1.17,0.0,0.0,0.0,0.0,0.0
A7_P2_M11-Pre_P1.18,0.0,0.0,8.42,0.0,0.0
A7_P6_M11-Pre_P1.19,0.0,0.0,8.87,0.0,0.0
A8_P1_M11-Pre_P1.20,0.0,0.0,0.0,0.0,0.0
A8_P6_M11-Pre_P1.21,0.0,0.0,6.31,0.0,0.0
A9_P1_M11-Pre_P1.22,0.0,0.0,0.0,0.0,0.0
A9_P4_M11-Pre_P1.23,0.0,0.0,7.6,0.0,0.0
B10_P1_M11-Pre_P1.24,0.0,0.0,0.0,7.14,0.0
B10_P3_M11-Pre_P1.25,0.0,0.0,0.0,0.0,0.0
B10_P4_M11-Pre_P1.26,0.0,0.0,0.0,0.0,0.0
B10_P6_M11-Pre_P1.27,0.0,0.0,0.0,8.84,0.0
B11_P6_M11-Pre_P1.28,0.0,0.0,7.37,0.0,0.0
B12_P3_M11-Pre_P1.29,0.0,0.0,6.44,0.0,0.0
B12_P4_M11-Pre_P1.30,0.0,0.0,6.75,0.0,0.0
B1_P2_M11-Pre_P1.31,0.0,0.0,0.0,0.0,0.0
B1_P4_M11-Pre_P1.32,0.0,0.0,0.0,0.0,0.0
B2_P1_M11-Pre_P1.33,0.0,0.0,0.0,0.0,0.0
B2_P5_M11-Pre_P1.34,0.0,0.0,0.0,0.0,0.0
B2_P6_M11-Pre_P1.35,0.0,0.0,0.0,0.0,0.0
B3_P1_M11-Pre_P1.36,0.0,0.0,0.0,0.0,0.0
B3_P5_M11-Pre_P1.37,0.0,0.0,0.0,0.0,0.0
B4_P1_M11-Pre_P1.38,0.0,0.0,0.0,0.0,0.0
B4_P4_M11-Pre_P1.39,0.0,0.0,0.0,0.0,0.0
B4_P6_M11-Pre_P1.40,0.0,0.0,0.0,0.0,0.0
B5_P1_M11-Pre_P1.41,0.0,0.0,0.0,0.0,0.0
B5_P6_M11-Pre_P1.42,0.0,0.0,0.0,0.0,0.0
B6_P1_M11-Pre_P1.43,0.0,0.0,0.0,0.0,0.0
B7_P4_M11-Pre_P1.44,0.0,0.0,4.34,0.0,0.0
B8_P6_M11-Pre_P1.45,0.0,0.0,9.78,0.0,0.0
B9_P2_M11-Pre_P1.46,0.0,0.0,0.0,0.0,0.0
C10_P4_M11-Pre_P1.47,0.0,0.0,8.51,0.0,0.0
C10_P6_M11-Pre_P1.48,0.0,0.0,0.0,0.0,0.0
C11_P4_M11-Pre_P1.49,0.0,0.0,6.9,0.0,0.0
C11_P6_M11-Pre_P1.50,0.0,0.0,0.0,8.55,0.0
C12_P4_M11-Pre_P1.51,0.0,0.0,0.0,0.0,0.0
C1_P3_M11-Pre_P1.52,0.0,0.0,4.47,0.0,7.94
C1_P4_M11-Pre_P1.53,0.0,0.0,0.0,0.0,0.0
C2_P6_M11-Pre_P1.54,0.0,0.0,7.62,0.0,0.0
C3_P1_M11-Pre_P1.55,0.0,0.0,0.0,0.0,0.0
C4_P1_M11-Pre_P1.56,0.0,0.0,0.0,4.45,0.0
C4_P3_M11-Pre_P1.57,0.0,0.0,0.0,0.0,0.0
C4_P4_M11-Pre_P1.58,0.0,0.0,7.86,0.0,0.0
C4_P6_M11-Pre_P1.59,0.0,0.0,0.0,0.0,0.0
C5_P3_M11-Pre_P1.60,0.0,0.0,0.0,0.0,0.0
C5_P5_M11-Pre_P1.61,0.0,0.0,0.0,0.0,0.0
C5_P6_M11-Pre_P1.62,0.0,0.0,0.0,0.0,0.0
C6_P2_M11-Pre_P1.63,0.0,0.0,0.0,0.0,0.0
C6_P3_M11-Pre_P1.64,0.0,0.0,6.52,0.0,6.73
C6_P4_M11-Pre_P1.65,0.0,0.0,0.0,0.0,0.0
C7_P3_M11-Pre_P1.66,0.0,0.0,0.0,0.0,0.0
C7_P5_M11-Pre_P1.67,0.0,0.0,0.0,0.0,0.0
C7_P6_M11-Pre_P1.68,0.0,0.0,0.0,0.0,0.0
C8_P3_M11-Pre_P1.69,0.0,0.0,0.0,0.0,0.0
C8_P5_M11-Pre_P1.70,0.0,0.0,0.0,0.0,0.0
C9_P1_M11-Pre_P1.71,0.0,0.0,8.65,0.0,0.0
C9_P2_M11-Pre_P1.72,0.0,0.0,0.0,0.0,0.0
C9_P4_M11-Pre_P1.73,0.0,0.0,0.0,0.0,0.0
D10_P1_M11-Pre_P1.74,0.0,0.0,8.88,0.0,0.0
D10_P6_M11-Pre_P1.75,0.0,0.0,0.0,0.0,7.72
D11_P6_M11-Pre_P1.76,0.0,0.0,0.0,0.0,0.0
D12_P6_M11-Pre_P1.77,0.0,0.0,0.0,0.0,0.0
D1_P1_M11-Pre_P1.78,0.0,0.0,0.0,0.0,0.0
D1_P4_M11-Pre_P1.79,0.0,0.0,0.0,0.0,0.0
D1_P6_M11-Pre_P1.80,0.0,0.0,0.0,0.0,0.0
D2_P4_M11-Pre_P1.81,0.0,0.0,0.0,0.0,0.0
D2_P6_M11-Pre_P1.82,0.0,0.0,0.0,0.0,0.0
D3_P1_M11-Pre_P1.83,0.0,0.0,0.0,0.0,0.0
D3_P3_M11-Pre_P1.84,0.0,0.0,6.83,0.0,0.0
D3_P6_M11-Pre_P1.85,0.0,0.0,0.0,0.0,0.0
D4_P1_M11-Pre_P1.86,0.0,0.0,0.0,0.0,0.0
D4_P3_M11-Pre_P1.87,0.0,0.0,0.0,0.0,0.0
D4_P4_M11-Pre_P1.88,0.0,0.0,0.0,0.0,0.0
D4_P6_M11-Pre_P1.89,0.0,0.0,0.0,0.0,0.0
D5_P4_M11-Pre_P1.90,0.0,0.0,8.89,0.0,0.0
D5_P5_M11-Pre_P1.91,0.0,0.0,0.0,0.0,0.0
D5_P6_M11-Pre_P1.92,0.0,0.0,7.4,7.78,5.25
D6_P1_M11-Pre_P1.93,0.0,0.0,0.0,0.0,0.0
D6_P3_M11-Pre_P1.94,0.0,0.0,8.48,0.0,0.0
D6_P5_M11-Pre_P1.95,0.0,0.0,0.0,0.0,0.0
D6_P6_M11-Pre_P1.96,0.0,0.0,0.0,0.0,7.33
D7_P3_M11-Pre_P1.97,0.0,0.0,0.0,0.0,0.0
D7_P5_M11-Pre_P1.98,0.0,0.0,0.0,0.0,0.0
D8_P2_M11-Pre_P1.99,0.0,0.0,0.0,0.0,0.0
D8_P3_M11-Pre_P1.100,0.0,0.0,0.0,0.0,0.0
D8_P4_M11-Pre_P1.101,0.0,0.0,3.76,0.0,0.0
D9_P3_M11-Pre_P1.102,0.0,0.0,8.04,0.0,0.0
D9_P4_M11-Pre_P1.103,0.0,0.0,4.93,0.0,0.0
D9_P5_M11-Pre_P1.104,0.0,0.0,0.0,0.0,0.0
E10_P2_M11-Pre_P1.105,0.0,0.0,9.35,0.0,0.0
E10_P4_M11-Pre_P1.106,0.0,0.0,6.02,0.0,0.0
E10_P6_M11-Pre_P1.107,0.0,0.0,4.47,0.0,0.0
E11_P6_M11-Pre_P1.108,0.0,0.0,0.0,0.0,0.0
E12_P6_M11-Pre_P1.109,0.0,0.0,0.0,0.0,0.68
